msa,pop20,est20,est21,rankpop20,rankest20,rankest21
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20140470,20096413,19768458,1,1,1
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13200998,13173266,12997353,2,2,2
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9618502,9601605,9509934,3,3,3
"Dallas-Fort Worth-Arlington, TX Metro Area",7637387,7662325,7759615,4,4,4
"Houston-The Woodlands-Sugar Land, TX Metro Area",7122240,7137747,7206841,5,5,5
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6385162,6385714,6356434,6,6,6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6245051,6241983,6228601,7,7,7
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6138333,6126441,6091747,8,8,9
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6089815,6101146,6144050,9,9,8
"Boston-Cambridge-Newton, MA-NH Metro Area",4941632,4936511,4899932,10,10,11
"Phoenix-Mesa-Chandler, AZ Metro Area",4845832,4867925,4946145,11,11,10
"San Francisco-Oakland-Berkeley, CA Metro Area",4749008,4739649,4623264,12,12,13
"Riverside-San Bernardino-Ontario, CA Metro Area",4599839,4605504,4653105,13,13,12
"Detroit-Warren-Dearborn, MI Metro Area",4392041,4385748,4365205,14,14,14
"Seattle-Tacoma-Bellevue, WA Metro Area",4018762,4024730,4011553,15,15,15
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3690261,3692421,3690512,16,16,16
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3298634,3297252,3286069,17,17,17
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3175275,3183385,3219514,18,18,18
"Denver-Aurora-Lakewood, CO Metro Area",2963821,2969289,2972566,19,19,19
"Baltimore-Columbia-Towson, MD Metro Area",2844510,2841691,2838327,20,20,20
"St. Louis, MO-IL Metro Area",2820253,2818267,2809299,21,21,21
"Orlando-Kissimmee-Sanford, FL Metro Area",2673376,2677687,2691925,22,22,23
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2660329,2669665,2701046,23,23,22
"San Antonio-New Braunfels, TX Metro Area",2558143,2566683,2601788,24,24,24
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2512859,2516230,2511612,25,25,25
"Sacramento-Roseville-Folsom, CA Metro Area",2397382,2399351,2411428,26,26,26
"Pittsburgh, PA Metro Area",2370930,2367293,2353538,27,27,27
"Austin-Round Rock-Georgetown, TX Metro Area",2283371,2299125,2352426,28,28,28
"Las Vegas-Henderson-Paradise, NV Metro Area",2265461,2273386,2292476,29,29,29
"Cincinnati, OH-KY-IN Metro Area",2256884,2257667,2259935,30,30,30
"Kansas City, MO-KS Metro Area",2192035,2193578,2199490,31,31,31
"Columbus, OH Metro Area",2138926,2141042,2151017,32,32,32
"Indianapolis-Carmel-Anderson, IN Metro Area",2111040,2113700,2126804,33,33,33
"Cleveland-Elyria, OH Metro Area",2088251,2085357,2075662,34,34,34
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2000468,1995105,1952185,35,36,36
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1989519,1995343,2012476,36,35,35
